"pregunta","promedio"
Confianza en ingresar CORREO,62.8906250000000000
Confianza en ingresar DIRECCIÓN,24.34895833333333333333
Confianza en ingresar FECHA DE NACIMIENTO,57.9427083333333333
Confianza en ingresar FOTOGRAFÍA DE UNA IDENTIFICACIÓN,19.14062500000000000000
Confianza en ingresar NOMBRE,64.3229166666666667
Confianza en ingresar NÚMERO DE TELÉFONO,38.8020833333333333
Confianza en ingresar TARJETA DE CRÉDITO,19.53125000000000000000
Confianza en que harán BUEN USO DE TU INFORMACIÓN,43.7500000000000000
De acuerdo con COMPARTIR CON TERCEROS,21.87500000000000000000
Frecuencia de ACEPTAR TÉRMINOS Y CONDICIONES,80.8593750000000000
Frecuencia de LEER TÉRMINOS Y CONDICIONES,24.34895833333333333333
INFORMADO SOBRE EL USO de tu información ingresada,50.5208333333333333
